Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
10-Sep-2020,11363.3,11464.05,11327.4,11449.25,679419973,39239.1,11253.77,11322.39,11209.39,11366.77,11140.77
11-Sep-2020,11447.8,11493.5,11419.9,11464.45,554789157,29614.09,11413.57,11499.74,11363.09,11550.22,11276.92
14-Sep-2020,11540.15,11568.9,11383.55,11440.05,642270123,33996.94,11459.28,11498.66,11425.06,11532.88,11385.68
15-Sep-2020,11487.2,11535.95,11442.25,11521.8,506667239,28054.51,11464.17,11544.79,11359.44,11649.52,11278.82
16-Sep-2020,11538.45,11618.1,11516.75,11604.55,527804775,27629.71,11500.0,11557.75,11464.05,11593.7,11406.3
17-Sep-2020,11539.4,11587.2,11498.5,11516.1,517729494,29674.95,11579.8,11642.85,11541.5,11681.15,11478.45
18-Sep-2020,11584.1,11584.1,11446.1,11504.95,764154094,48698.68,11533.93,11569.36,11480.66,11622.63,11445.23
21-Sep-2020,11503.8,11535.25,11218.5,11250.55,602851737,37213.23,11511.72,11577.34,11439.34,11649.72,11373.72
22-Sep-2020,11301.75,11302.2,11084.65,11153.65,672249921,36296.49,11334.77,11451.04,11134.29,11651.52,11018.02
23-Sep-2020,11258.75,11259.55,11024.4,11131.85,714925847,35542.98,11180.17,11275.69,11058.14,11397.72,10962.62
24-Sep-2020,11011.0,11015.3,10790.2,10805.55,706139506,33623.71,11138.6,11252.8,11017.65,11373.75,10903.45
25-Sep-2020,10910.4,11072.6,10854.85,11050.25,559597322,31122.18,10870.35,10950.5,10725.4,11095.45,10645.25
28-Sep-2020,11140.85,11239.35,11099.85,11227.55,472777324,24361.17,10992.57,11130.29,10912.54,11210.32,10774.82
29-Sep-2020,11288.6,11305.4,11181.0,11222.4,498295735,26875.14,11188.92,11277.99,11138.49,11328.42,11049.42
30-Sep-2020,11244.45,11295.4,11184.55,11247.55,499343849,28134.77,11236.27,11291.54,11167.14,11360.67,11111.87
01-Oct-2020,11364.45,11428.6,11347.05,11416.95,447740006,26212.72,11242.5,11300.45,11189.6,11353.35,11131.65
05-Oct-2020,11487.8,11578.05,11452.3,11503.35,530597393,31341.55,11397.53,11448.01,11366.46,11479.08,11315.98
06-Oct-2020,11603.45,11680.3,11564.3,11662.4,561444728,30373.65,11511.23,11570.16,11444.41,11636.98,11385.48
